,Democratic,Other,Population,Republican,White
1,192157,6666,679644,110407,262649
2,123940,15764,692510,210488,503356
3,73015,10654,680419,222125,509425
4,95030,5177,698171,156680,411749
5,104066,4225,704149,142164,366344
6,235628,8817,695564,47382,175051
7,227048,12100,690820,74423,291200
8,51211,7120,690399,191643,552664
9,107740,7063,681276,152180,415438
10,124900,12888,680344,178570,436663
11,124963,9227,704652,169713,437997
12,152076,8545,701039,157596,368671
13,127652,6823,698925,148166,379521
14,138239,10272,689741,127977,303192
