,Democratic,Other,Population,Republican,White
1,158476.0,12935.0,718021.0,163191.0,557923.0
2,127258.0,14795.0,703232.0,181449.0,573586.0
3,163942.0,14989.0,707662.0,172716.0,568538.0
4,95391.0,9425.0,696115.0,207361.0,657839.0
5,284939.0,8763.0,714169.0,66768.0,318210.0
6,127273.0,10229.0,708151.0,171788.0,608660.0
7,166996.0,15034.0,699826.0,191602.0,616135.0
8,303826.0,9777.0,697752.0,71034.0,338693.0
9,200792.0,13661.0,694417.0,153086.0,574021.0
10,116755.0,12712.0,704078.0,179429.0,641368.0
11,199137.0,14481.0,715831.0,158003.0,562429.0
12,126025.0,14610.0,704648.0,198054.0,594126.0
13,197874.0,7546.0,709336.0,84364.0,364965.0
14,216435.0,12661.0,698207.0,154220.0,553623.0
15,93172.0,10609.0,704964.0,209799.0,655009.0
16,132516.0,10900.0,707930.0,190100.0,621677.0
17,94941.0,11340.0,704136.0,194281.0,656412.0
18,108750.0,13616.0,696454.0,208253.0,614892.0
