,Democratic,Other,Population,Republican,White
1,208398.0,14493.0,700133.0,145061.0,547755.0
2,193987.0,6473.0,699933.0,82298.0,343407.0
3,128575.0,13634.0,697043.0,191209.0,574615.0
4,172517.0,14181.0,700938.0,164815.0,551082.0
5,118078.0,11209.0,709155.0,177833.0,600368.0
6,197879.0,13457.0,714279.0,166287.0,597048.0
7,125621.0,11277.0,706169.0,191659.0,645111.0
8,226501.0,13453.0,696091.0,151855.0,564338.0
9,135420.0,13281.0,712273.0,184223.0,637071.0
10,94831.0,11087.0,696384.0,194038.0,644777.0
11,131830.0,10480.0,718128.0,180370.0,645516.0
12,245482.0,10166.0,709708.0,105902.0,417598.0
13,326767.0,8044.0,705125.0,39964.0,232820.0
14,134903.0,14504.0,690812.0,173777.0,565774.0
15,90692.0,13218.0,717284.0,224124.0,664756.0
16,90958.0,10455.0,704564.0,219622.0,671405.0
17,164673.0,13333.0,692363.0,173621.0,587708.0
18,127386.0,15338.0,714547.0,188840.0,586957.0
