,Democratic,Other,Population,Republican,White
1,153270,16700,696891,171485,444457
2,252343,12101,699353,57762,271109
3,172536,6622,685209,122746,292473
4,120611,13048,705007,195745,449759
5,128180,6489,703127,140237,364281
6,52073,7589,679339,200909,556256
7,72516,4646,680341,160092,432746
8,139838,7571,680193,127865,351657
9,112849,9098,703830,188444,460693
10,212437,7182,686173,71531,187235
11,96559,4172,678264,144146,366858
12,178771,9458,696831,87872,232743
13,66138,12110,700019,245679,555062
14,119544,8555,693076,175001,448591
