,Democratic,Other,Population,Republican,White
1,76865,5277,697512,160093,442559
2,211745,7153,700349,92481,227577
3,53209,7334,679766,189791,540961
4,180361,7344,693739,126674,290050
5,56977,8820,679478,226497,539682
6,263729,9495,688408,35902,192018
7,140297,13038,680840,152442,371969
8,141716,8626,689099,144050,372001
9,111510,9957,695631,195316,465270
10,163462,13145,679324,102159,317442
11,99051,4411,705376,154461,389805
12,131237,6159,692356,129050,342376
13,113309,15732,705374,220550,520452
14,134197,8850,700401,160048,401758
