,Democratic,Other,Population,Republican,White
1,184995,9675,682982,110446,289680
2,55122,7667,683058,195249,548220
3,116897,6003,696021,144841,378576
4,249444,5999,688484,25006,104179
5,55079,9633,700998,240520,562635
6,113466,9302,689109,183612,449790
7,101186,5239,701854,162049,407360
8,148260,15753,692839,170610,426737
9,208794,6497,690357,100085,241097
10,98291,4305,701244,149482,385093
11,175415,16761,691952,156115,461748
12,120983,11701,683985,149146,344156
13,135385,8692,681190,147019,386285
14,114348,8114,703580,155334,428364
