,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,239653.0,244548.0,3092.0,10557.0,706765.0,116282.0,113863.0,433919.0
2,115439.0,98516.0,4346.0,11811.0,694002.0,159165.0,193477.0,606812.0
3,327730.0,329329.0,2743.0,7901.0,707081.0,34828.0,34496.0,236657.0
4,192416.0,200900.0,4051.0,13162.0,700056.0,160100.0,164772.0,588492.0
5,104479.0,82261.0,5312.0,10897.0,714705.0,176913.0,211825.0,684920.0
6,219929.0,220280.0,2282.0,6665.0,703337.0,59171.0,65927.0,307055.0
7,110691.0,97736.0,5142.0,12016.0,701091.0,163418.0,193891.0,650683.0
8,162974.0,170171.0,4204.0,14736.0,707207.0,169839.0,167176.0,579237.0
9,121541.0,120948.0,5893.0,16154.0,714046.0,185591.0,201456.0,612991.0
10,154683.0,131772.0,3942.0,9592.0,707371.0,127748.0,172141.0,615664.0
11,143877.0,144340.0,4804.0,14787.0,710022.0,173154.0,185623.0,560309.0
12,123891.0,111348.0,3715.0,10629.0,711886.0,181055.0,211102.0,668581.0
13,96050.0,86287.0,4512.0,11123.0,713097.0,197531.0,227614.0,659709.0
14,172645.0,180169.0,4518.0,14773.0,696279.0,177065.0,178160.0,597709.0
15,218300.0,222125.0,4696.0,13267.0,703881.0,137879.0,137946.0,550166.0
16,145232.0,120511.0,4745.0,12980.0,691130.0,154701.0,180083.0,626177.0
17,159068.0,158126.0,3819.0,11992.0,707175.0,132271.0,151675.0,526695.0
18,175831.0,195131.0,4131.0,15041.0,695798.0,170220.0,164271.0,572330.0
