,Democratic,Other,Population,Republican,White
1,128455,8551,681141,170083,410864
2,78310,12148,695798,227064,544483
3,104672,10285,699622,183141,428396
4,139709,8029,681283,135115,360215
5,48342,7916,679690,211527,561318
6,244469,11292,696501,71272,262025
7,100631,4260,703288,149679,380611
8,187229,6848,680877,114524,268643
9,124126,6481,701861,146005,373494
10,126844,8662,697074,169539,430106
11,144629,14042,695998,175815,436322
12,147235,13552,694980,135354,363650
13,74375,4907,691585,159024,437449
14,228639,8368,687955,41372,156344
