,Democratic,Other,Population,Republican,White
1,66436,9695,690989,227585,529929
2,160660,14392,682525,129264,384666
3,99934,4276,695854,147513,374930
4,254063,7099,697058,26155,123551
5,94516,9718,680279,207341,493331
6,166496,13744,687320,143766,368665
7,127396,6312,704613,143009,379683
8,131728,8868,692250,156739,411711
9,88389,4572,689560,162866,411762
10,187420,6732,695217,119304,287570
11,213553,9476,691607,88097,252259
12,55654,8272,687445,194255,546976
13,115276,14028,687478,192528,430103
14,116144,8157,705458,151092,418784
