,Democratic,Other,Population,Republican,White
1,135696,8932,702395,172016,415512
2,105319,11087,699042,194138,449164
3,72219,11633,683220,224587,541042
4,139747,8053,687956,138407,366761
5,48342,7916,679690,211527,561318
6,269142,8458,704424,36754,171291
7,97972,4194,688191,145623,372733
8,149605,16053,687793,169624,438888
9,120246,6202,700730,148553,379441
10,126806,8638,690401,166247,423560
11,210069,10375,694425,88305,270740
12,139840,11698,681331,115373,305530
13,73673,4871,686559,158599,434732
14,188989,7231,701496,119761,283208
