,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,219951.0,226103.0,3223.0,10707.0,698796.0,122086.0,122477.0,463575.0
2,120764.0,104570.0,4499.0,12338.0,711235.0,164498.0,198473.0,620552.0
3,347432.0,347774.0,2612.0,7751.0,715050.0,29024.0,25882.0,207001.0
4,210639.0,208323.0,2178.0,6313.0,695569.0,58572.0,68904.0,304247.0
5,92925.0,79879.0,4461.0,10839.0,692990.0,192561.0,221760.0,645628.0
6,198302.0,208852.0,4049.0,13348.0,697439.0,159403.0,160173.0,580076.0
7,108814.0,95977.0,5181.0,11885.0,694280.0,163439.0,192778.0,646294.0
8,162974.0,170171.0,4204.0,14736.0,707207.0,169839.0,167176.0,579237.0
9,121541.0,120948.0,5893.0,16154.0,714046.0,185591.0,201456.0,612991.0
10,156560.0,133531.0,3903.0,9723.0,714182.0,127727.0,173254.0,620053.0
11,143877.0,144340.0,4804.0,14787.0,710022.0,173154.0,185623.0,560309.0
12,123891.0,111348.0,3715.0,10629.0,711886.0,181055.0,211102.0,668581.0
13,102279.0,82615.0,5210.0,10654.0,717579.0,176550.0,212683.0,685261.0
14,192465.0,196974.0,4764.0,14253.0,691261.0,150842.0,150271.0,575713.0
15,198480.0,205320.0,4450.0,13787.0,708899.0,164102.0,165835.0,572162.0
16,145232.0,120511.0,4745.0,12980.0,691130.0,154701.0,180083.0,626177.0
17,159068.0,158126.0,3819.0,11992.0,707175.0,132271.0,151675.0,526695.0
18,179235.0,199136.0,4237.0,15207.0,706183.0,171516.0,165893.0,583554.0
