,Democratic,Other,Population,Republican,White
1,220959,7345,705136,82968,240213
2,62610,9278,688729,227794,548870
3,110542,7666,691274,152480,417518
4,129476,12993,700143,175673,402182
5,217316,8911,685406,77937,217020
6,172682,15222,682568,123928,396163
7,181694,6929,694561,102240,271773
8,118763,5364,679953,131942,348364
9,147510,8363,693053,151016,347516
10,58400,8080,699747,197660,555516
11,133075,15802,679814,184750,451764
12,123735,9314,681755,167502,411165
13,97375,4339,704198,154362,392583
14,103528,5735,701316,159262,413273
