,Democratic,Other,Population,Republican,White
1,211107.0,6589.0,703227.0,74932.0,325874.0
2,107944.0,10262.0,713394.0,208421.0,666512.0
3,170822.0,13903.0,703486.0,154110.0,543364.0
4,319309.0,8078.0,705265.0,35958.0,240790.0
5,233803.0,10392.0,693337.0,114157.0,421720.0
6,120281.0,16064.0,690947.0,192795.0,593884.0
7,137943.0,14660.0,705844.0,187100.0,564111.0
8,87403.0,10825.0,692666.0,210311.0,663090.0
9,235962.0,14338.0,717273.0,140714.0,554284.0
10,101790.0,12011.0,696825.0,202544.0,614285.0
11,225149.0,12902.0,706516.0,133828.0,532916.0
12,94094.0,11124.0,692647.0,192481.0,644618.0
13,139741.0,10244.0,717228.0,169443.0,619649.0
14,120958.0,13140.0,717572.0,183593.0,652126.0
15,81583.0,10837.0,693397.0,217207.0,644667.0
16,176195.0,15828.0,715096.0,195198.0,638440.0
17,155530.0,12354.0,701528.0,158012.0,538238.0
18,194884.0,14532.0,718681.0,184694.0,619538.0
