,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,176903.0,171211.0,3921.0,12014.0,717412.0,172598.0,186507.0,603247.0
2,167321.0,186285.0,4119.0,14776.0,717648.0,177712.0,167121.0,587936.0
3,269523.0,266635.0,2437.0,8074.0,711357.0,65830.0,65190.0,325180.0
4,137671.0,137398.0,4984.0,15343.0,702867.0,185417.0,202430.0,584400.0
5,135130.0,123157.0,3950.0,11462.0,710204.0,175268.0,201224.0,656959.0
6,127922.0,128446.0,5608.0,15847.0,697034.0,170383.0,182821.0,572525.0
7,183392.0,189718.0,3948.0,13009.0,700729.0,162667.0,170731.0,588887.0
8,157321.0,135494.0,3860.0,10032.0,698625.0,127057.0,167379.0,604941.0
9,165445.0,173214.0,4399.0,15186.0,693106.0,173514.0,177415.0,593471.0
10,128298.0,112562.0,4279.0,11188.0,709554.0,147306.0,178433.0,576549.0
11,246055.0,254293.0,3422.0,10737.0,712272.0,109410.0,106749.0,436833.0
12,284202.0,287866.0,2451.0,6956.0,705563.0,34019.0,39018.0,226591.0
13,102415.0,97163.0,4590.0,11368.0,696862.0,183452.0,207547.0,638212.0
14,93747.0,77447.0,4729.0,10897.0,693867.0,167827.0,203397.0,653745.0
15,208100.0,222378.0,5234.0,15544.0,707021.0,152437.0,143851.0,575990.0
16,144183.0,121146.0,4791.0,13209.0,699863.0,159057.0,185461.0,636728.0
17,155135.0,150064.0,3965.0,11924.0,711584.0,134671.0,158140.0,546117.0
18,101666.0,80021.0,5260.0,10517.0,699361.0,178306.0,212084.0,669795.0
