,Democratic,Other,Population,Republican,White
1,76865,5277,697512,160093,442559
2,137573,4463,698880,111329,297400
3,101156,8912,686282,197151,466355
4,216781,7353,703371,87979,235798
5,133694,13730,693771,167584,398139
6,265908,9539,697506,34785,189960
7,120858,9508,678667,175358,430400
8,141514,8576,686280,142827,369146
9,56692,8553,682967,227846,541821
10,152663,14461,696281,139500,372982
11,208190,7002,683341,83552,211609
12,92544,6138,695822,172384,434063
13,117916,14390,695182,196461,475133
14,55311,7439,691791,192665,548555
