,Democratic,Other,Population,Republican,White
1,198674,14194,686742,103995,353176
2,121309,11818,691142,185578,417826
3,137922,7691,678580,130282,354699
4,111890,8847,683293,177935,448914
5,128286,6573,691790,137571,359728
6,62063,10930,703707,250147,576594
7,59581,8494,696332,193084,546819
8,130921,11681,700584,166338,423928
9,96962,4184,687562,146939,374938
10,263836,7824,685128,38629,163700
11,80175,4959,701532,164219,440144
12,194239,7416,705638,125702,296037
13,133439,13297,679804,146568,360598
14,158368,7433,695819,122527,296819
