,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,95959.0,81838.0,4658.0,11359.0,696612.0,196977.0,226697.0,649197.0
2,152248.0,144103.0,4044.0,12153.0,709408.0,171802.0,189362.0,654370.0
3,184279.0,186032.0,3783.0,11621.0,708082.0,145778.0,158130.0,566755.0
4,240841.0,253657.0,2719.0,7319.0,702135.0,42443.0,47599.0,281634.0
5,134337.0,121586.0,3878.0,10674.0,694016.0,138555.0,174629.0,572397.0
6,146952.0,140130.0,4256.0,13242.0,704855.0,152203.0,168322.0,549899.0
7,293463.0,297583.0,2822.0,9721.0,696196.0,80681.0,69676.0,337136.0
8,169482.0,181158.0,4282.0,14924.0,710258.0,168448.0,171499.0,578014.0
9,107015.0,95594.0,5043.0,10901.0,703655.0,165057.0,194914.0,653364.0
10,179274.0,187418.0,4855.0,15370.0,714537.0,174171.0,177133.0,606247.0
11,163864.0,182579.0,3905.0,14228.0,691565.0,171344.0,160467.0,574246.0
12,185463.0,184618.0,4149.0,11487.0,693521.0,152908.0,162968.0,560836.0
13,99308.0,80921.0,4986.0,11222.0,716997.0,179466.0,216343.0,684451.0
14,145933.0,119220.0,4919.0,12795.0,706401.0,151539.0,179382.0,641369.0
15,131152.0,130688.0,5906.0,16000.0,715518.0,178317.0,193455.0,591289.0
16,150939.0,124570.0,4318.0,10891.0,717833.0,141491.0,185597.0,658234.0
17,268216.0,265458.0,2801.0,9346.0,708356.0,88676.0,89354.0,350758.0
18,135704.0,137345.0,4623.0,14830.0,694984.0,177075.0,189971.0,567910.0
