,Democratic,Other,Population,Republican,White
1,196733,14979,683235,104475,365987
2,121991,10520,688414,156394,352311
3,54637,7430,705575,197040,563254
4,100855,4165,692656,145001,369198
5,129090,6657,694420,138482,359784
6,132419,14954,682641,176810,433617
7,186828,6771,698257,111943,271787
8,74151,11059,685148,228522,530554
9,110460,7618,689942,153985,420372
10,134663,12024,688054,173058,416675
11,101969,4536,679674,135405,367543
12,149278,8684,704664,162103,384245
13,115430,9240,701861,186066,469847
14,269161,6704,693112,20230,108746
