,Democratic,Other,Population,Republican,White
1,73525,4834,680374,156688,431069
2,156684,15955,705575,168792,440517
3,188903,8126,679050,79688,200040
4,179303,8169,703882,108347,288757
5,51415,7213,680234,195977,550138
6,211679,13603,697173,82102,333186
7,99017,4282,699856,149143,379492
8,81474,13633,689676,241951,554713
9,151033,8556,685698,154167,364780
10,140958,8038,687258,135461,363015
11,201603,6532,702702,103951,250834
12,103628,11896,701328,198599,449267
13,119116,6166,685047,144984,370094
14,119327,8338,689800,169664,438018
