,Democratic,Other,Population,Republican,White
1,199410.0,13237.0,697823.0,164315.0,582336.0
2,178293.0,14151.0,704438.0,163225.0,549001.0
3,299080.0,7404.0,690955.0,32881.0,231138.0
4,122239.0,11373.0,716418.0,179578.0,601823.0
5,123503.0,13770.0,692625.0,173485.0,571402.0
6,112572.0,10576.0,697659.0,200134.0,651774.0
7,186535.0,13701.0,715201.0,182165.0,596419.0
8,251337.0,7453.0,712963.0,68718.0,323077.0
9,126450.0,13540.0,714556.0,191683.0,648952.0
10,96304.0,11115.0,710809.0,198296.0,659277.0
11,129118.0,10069.0,698031.0,175963.0,626377.0
12,239373.0,10058.0,701486.0,110926.0,417046.0
13,207678.0,14577.0,701491.0,150627.0,558553.0
14,130417.0,14108.0,701747.0,194267.0,577285.0
15,89467.0,13029.0,707542.0,220245.0,655514.0
16,80497.0,10386.0,710277.0,220125.0,678275.0
17,209736.0,13983.0,697627.0,141454.0,567562.0
18,132489.0,15553.0,713281.0,187411.0,582295.0
