,Democratic,Other,Population,Republican,White
1,58488,8744,696543,195158,549448
2,120215,15383,688471,213319,488715
3,100335,4333,704013,149937,381242
4,97010,9796,690523,207326,494906
5,156148,14134,684751,150081,379297
6,122372,6420,681772,138695,366381
7,187234,6833,689954,116484,287125
8,134091,9222,703683,159946,416702
9,66405,9261,679523,220696,516449
10,93331,4381,696231,158932,405385
11,215948,9748,687141,90852,261888
12,249762,6215,693431,33392,116805
13,161978,12757,688037,99362,321213
14,114348,8114,703580,155334,428364
