,Democratic,Other,Population,Republican,White
1,213839.0,5932.0,695323.0,65546.0,295935.0
2,92761.0,12614.0,707906.0,217814.0,630997.0
3,325498.0,8872.0,716552.0,42702.0,284986.0
4,249646.0,9903.0,699419.0,102529.0,387880.0
5,154441.0,14450.0,692634.0,196810.0,620590.0
6,200327.0,14827.0,698156.0,159759.0,573589.0
7,158180.0,14889.0,702626.0,175872.0,599395.0
8,115699.0,11835.0,708613.0,177798.0,577813.0
9,123741.0,13437.0,703651.0,192165.0,592352.0
10,91873.0,10912.0,709424.0,201076.0,662672.0
11,93551.0,11009.0,716910.0,219907.0,678141.0
12,132670.0,9944.0,703917.0,174328.0,621183.0
13,158503.0,11905.0,691295.0,145566.0,514800.0
14,155512.0,12084.0,703037.0,174914.0,634376.0
15,202130.0,12362.0,714435.0,157608.0,560709.0
16,116390.0,13045.0,717901.0,182878.0,653775.0
17,199041.0,13717.0,697135.0,171138.0,591504.0
18,130696.0,16346.0,705995.0,197088.0,597409.0
