,Democratic,Other,Population,Republican,White
1,232242,8489,680243,42013,161857
2,186756,6851,692208,114421,275403
3,51447,7210,694890,192415,557137
4,87518,5406,698347,169707,429347
5,104066,4225,704149,142164,366344
6,106676,14823,704152,223619,521601
7,237320,12164,696693,73167,286551
8,73688,10168,679424,219380,507565
9,107740,7063,681276,152180,415438
10,142249,14426,680205,172122,427153
11,132475,8998,704476,156686,420399
12,148724,8465,682800,155670,364926
13,127652,6823,698925,148166,379521
14,139112,10230,689865,127804,300678
