,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,124013.0,114851.0,5199.0,14144.0,702150.0,170698.0,194462.0,606208.0
2,159579.0,137991.0,3875.0,10136.0,706191.0,126718.0,167726.0,609651.0
3,237775.0,247833.0,3427.0,11282.0,713486.0,118322.0,114979.0,467278.0
4,167751.0,179414.0,4219.0,15116.0,692991.0,174778.0,175352.0,579543.0
5,155093.0,149343.0,4055.0,12400.0,693441.0,164624.0,178655.0,628584.0
6,269047.0,267308.0,2223.0,7820.0,698713.0,64359.0,60692.0,285175.0
7,150915.0,146429.0,3806.0,11547.0,691485.0,131213.0,153776.0,529046.0
8,296498.0,303758.0,2829.0,7678.0,709956.0,34636.0,37822.0,242073.0
9,179953.0,181458.0,3765.0,11494.0,694683.0,147378.0,160051.0,566003.0
10,139154.0,136596.0,4803.0,14880.0,715930.0,177154.0,195268.0,596297.0
11,176528.0,189603.0,4161.0,14812.0,715182.0,168567.0,160779.0,558590.0
12,107677.0,99487.0,5097.0,11726.0,711861.0,191364.0,217421.0,651940.0
13,165041.0,158152.0,3786.0,10989.0,693247.0,161791.0,179276.0,585293.0
14,191408.0,203215.0,4979.0,14956.0,708732.0,164162.0,163413.0,586585.0
15,117050.0,114551.0,4938.0,13568.0,690709.0,166131.0,182611.0,576068.0
16,101047.0,82652.0,4896.0,11225.0,713444.0,188429.0,220608.0,684805.0
17,97855.0,81011.0,4802.0,11248.0,718274.0,172755.0,210519.0,677012.0
18,148045.0,120846.0,5087.0,13062.0,714454.0,153852.0,182088.0,647955.0
