,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,187803.0,197208.0,4104.0,13637.0,700333.0,166422.0,171351.0,591473.0
2,247697.0,242152.0,2217.0,6950.0,702245.0,62623.0,67139.0,314374.0
3,189353.0,207561.0,3993.0,14362.0,696273.0,157145.0,149827.0,554523.0
4,287760.0,295671.0,2817.0,7573.0,696833.0,33601.0,36784.0,237978.0
5,218461.0,219072.0,4736.0,13116.0,711024.0,134719.0,138391.0,546415.0
6,240976.0,244919.0,3127.0,10638.0,709170.0,119589.0,117170.0,433558.0
7,162141.0,171070.0,4257.0,15110.0,717227.0,178831.0,177228.0,608548.0
8,108615.0,98015.0,5005.0,11504.0,716936.0,165146.0,196829.0,655056.0
9,158496.0,136153.0,3878.0,10109.0,704084.0,127695.0,168366.0,609151.0
10,126771.0,113372.0,4775.0,12867.0,705696.0,157999.0,182924.0,589027.0
11,130234.0,127121.0,5883.0,15734.0,710715.0,175474.0,193075.0,588239.0
12,101183.0,79829.0,5168.0,10589.0,693353.0,174820.0,208001.0,664319.0
13,90173.0,79153.0,4387.0,10614.0,690806.0,191028.0,221571.0,640954.0
14,174702.0,184704.0,4554.0,15144.0,702685.0,182205.0,180521.0,613178.0
15,124034.0,112011.0,3729.0,10599.0,712582.0,182746.0,212505.0,670615.0
16,147996.0,122454.0,4875.0,13325.0,711857.0,157570.0,184443.0,646351.0
17,134995.0,134951.0,4489.0,14278.0,698953.0,176609.0,192891.0,573552.0
18,153039.0,149082.0,3953.0,11934.0,704157.0,132709.0,156482.0,540795.0
