,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,208110.0,221761.0,5323.0,15975.0,711004.0,154719.0,146736.0,582576.0
2,125206.0,107920.0,4340.0,11457.0,692618.0,147691.0,177484.0,568722.0
3,198241.0,195362.0,2199.0,6417.0,690759.0,64977.0,76249.0,326724.0
4,207840.0,219301.0,4081.0,13719.0,703235.0,160988.0,161108.0,579275.0
5,95471.0,81686.0,4582.0,10981.0,706666.0,198391.0,228134.0,660880.0
6,172807.0,188532.0,4156.0,14835.0,697121.0,171133.0,167996.0,577587.0
7,125914.0,126327.0,5851.0,16263.0,709252.0,179130.0,192256.0,593618.0
8,110846.0,100852.0,5123.0,12075.0,716549.0,170546.0,200843.0,662932.0
9,156469.0,152392.0,4005.0,12085.0,718409.0,135879.0,159216.0,548254.0
10,99298.0,84198.0,4735.0,10966.0,693858.0,180969.0,212312.0,662706.0
11,246994.0,251219.0,3062.0,10270.0,691394.0,106585.0,105015.0,413938.0
12,162077.0,174973.0,4098.0,14721.0,701163.0,174408.0,168138.0,587461.0
13,140963.0,140948.0,4883.0,14978.0,717104.0,179734.0,195598.0,579978.0
14,137691.0,125152.0,3867.0,11241.0,707246.0,173911.0,200301.0,652388.0
15,158967.0,136099.0,3881.0,9967.0,703639.0,127110.0,169026.0,613751.0
16,173323.0,168474.0,3889.0,11577.0,702998.0,165415.0,179738.0,588666.0
17,321706.0,324561.0,2828.0,7964.0,717938.0,34582.0,35878.0,237506.0
18,142506.0,114741.0,5044.0,12592.0,703976.0,150763.0,179470.0,641144.0
