,Democratic,Other,Population,Republican,White
1,163294,13379,703241,117809,350733
2,145249,16271,679198,178575,447086
3,139236,7651,700755,134212,367784
4,120402,11017,703045,180278,407024
5,99871,4279,701056,146349,375347
6,68779,10996,703823,221460,571431
7,234214,9642,687464,59938,200308
8,115886,8464,683562,172179,440295
9,76537,5173,678309,165828,439238
10,101002,9305,695632,196273,481666
11,127514,6302,679193,132630,347235
12,170418,6598,680101,112719,267413
13,54801,8750,688430,220859,545188
14,260462,7514,703844,50405,173172
