,Democratic,Other,Population,Republican,White
1,184699,14264,678179,102209,355759
2,124880,10747,679849,151062,343921
3,54637,7430,705575,197040,563254
4,84798,4851,689681,167902,424413
5,128865,6661,688835,141086,363921
6,132419,14954,682641,176810,433617
7,224606,6548,691893,58762,165510
8,71262,10832,693713,233854,538944
9,110460,7618,689942,153985,420372
10,134663,12024,688054,173058,416675
11,131842,8899,695917,154276,413304
12,149278,8684,704664,162103,384245
13,101839,4187,694178,141690,364734
14,243417,7642,704532,75677,225251
