,Democratic,Other,Population,Republican,White
1,163294,13379,703241,117809,350733
2,214325,10017,680147,74458,239508
3,131654,8996,702247,158394,421758
4,59422,9278,698422,201935,556449
5,96921,4171,682063,144320,368370
6,59527,10430,686455,242529,555218
7,93283,5020,700105,164615,421731
8,110569,7613,686385,154317,419817
9,128784,6326,696780,132965,351741
10,146047,16161,692847,179174,453295
11,87948,9164,689349,211999,505425
12,204441,6196,687480,84240,204704
13,120988,11076,678288,172354,391999
14,260462,7514,703844,50405,173172
