,Democratic,Other,Population,Republican,White
1,114928,6676,682905,149119,380531
2,123678,7728,697286,163070,426984
3,228478,6258,693262,53820,139459
4,180565,6849,705646,126044,302650
5,174445,8213,679154,123543,289471
6,97670,4202,685228,145613,370678
7,75271,4993,683061,159686,433731
8,104149,9285,689447,193595,472066
9,53612,7479,701084,202167,566429
10,67646,12263,691081,242248,544607
11,153762,16583,703815,176034,442094
12,137350,11873,699447,131929,334043
13,227956,14782,695559,85385,347184
14,138155,8157,680678,137261,363993
