,Democratic,Other,Population,Republican,White
1,184219,6763,686851,113436,272366
2,139531,12464,689601,131220,336512
3,149396,15734,693014,168669,436933
4,139747,8053,687956,138407,366761
5,74329,12910,680332,244042,555333
6,269142,8458,704424,36754,171291
7,97972,4194,688191,145623,372733
8,50386,7305,688415,193726,552218
9,120246,6202,700730,148553,379441
10,112931,8162,682223,181934,438642
11,210069,10375,694425,88305,270740
12,118629,10831,703183,168938,412680
13,73673,4871,686559,158599,434732
14,137395,9019,701749,171308,413538
