,Democratic,Other,Population,Republican,White
1,82572,5408,701025,162082,439136
2,117282,15905,691978,215508,505273
3,143643,8316,697334,165319,387216
4,188140,8397,681853,100493,245893
5,249377,8913,679462,36311,176932
6,178183,13658,703095,104040,337991
7,170930,8370,678761,119043,302716
8,141415,7766,693212,161008,402478
9,98264,4320,703609,151628,387739
10,61390,9144,700271,230414,554620
11,126887,5710,689803,129134,340265
12,142821,8741,692281,145525,373742
13,123933,13289,678937,176269,405128
14,52828,7404,696032,192740,554791
