,Democratic,Other,Population,Republican,White
1,158476.0,12935.0,718021.0,163191.0,557923.0
2,124033.0,14606.0,692666.0,176397.0,569679.0
3,206873.0,14939.0,713954.0,156588.0,564510.0
4,84716.0,10108.0,695719.0,218299.0,663823.0
5,314334.0,9576.0,717554.0,57417.0,336744.0
6,127273.0,10229.0,708151.0,171788.0,608660.0
7,145360.0,12318.0,706345.0,184565.0,631907.0
8,258636.0,8046.0,700302.0,69357.0,285157.0
9,210157.0,12558.0,705296.0,145522.0,555893.0
10,94734.0,11466.0,708106.0,197793.0,659622.0
11,249352.0,10979.0,717358.0,116757.0,441751.0
12,125331.0,14603.0,702333.0,201435.0,594389.0
13,181637.0,10218.0,708048.0,139593.0,522366.0
14,159240.0,14655.0,698622.0,169064.0,559574.0
15,117420.0,12921.0,715450.0,183354.0,653183.0
16,156865.0,14251.0,692490.0,194068.0,619454.0
17,108149.0,13593.0,692300.0,207377.0,611962.0
18,91912.0,10082.0,692214.0,202933.0,641509.0
