,Democratic,Other,Population,Republican,White
1,297932.0,9089.0,697148.0,54477.0,317473.0
2,113842.0,12865.0,691002.0,178750.0,631305.0
3,198989.0,14896.0,711481.0,162604.0,584519.0
4,156918.0,11880.0,698525.0,149320.0,523291.0
5,168296.0,15102.0,713026.0,193937.0,632854.0
6,234277.0,6060.0,692497.0,60318.0,267561.0
7,112679.0,12088.0,696507.0,184368.0,585479.0
8,122882.0,15503.0,709073.0,189536.0,596597.0
9,163147.0,15082.0,703380.0,183214.0,594497.0
10,88444.0,10270.0,716028.0,221497.0,680621.0
11,91076.0,12483.0,693025.0,210831.0,616735.0
12,250715.0,9350.0,691798.0,92568.0,365511.0
13,131997.0,14036.0,718530.0,188637.0,597974.0
14,114120.0,10500.0,702189.0,203420.0,654101.0
15,234028.0,13696.0,717654.0,136495.0,547780.0
16,94951.0,11314.0,714177.0,202378.0,666031.0
17,206557.0,13886.0,714441.0,172003.0,599702.0
18,133648.0,9983.0,704448.0,171145.0,616075.0
