,Democratic,Other,Population,Republican,White
1,248470,9923,702365,38932,215153
2,187832,6783,702862,119975,288010
3,155875,10366,697237,160101,364690
4,113269,8446,689572,176726,453198
5,96260,4192,681554,144837,369417
6,61448,10719,693820,245448,560435
7,138331,7638,679941,132663,355806
8,73907,4924,679891,159250,433174
9,57288,8916,699611,201283,558680
10,115341,9321,698348,190373,456772
11,127022,6241,688064,134581,352033
12,138110,11504,684804,118246,304720
13,212074,9429,684299,82343,236130
14,152438,16939,705285,184756,465702
