,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,208110.0,221761.0,5323.0,15975.0,711004.0,154719.0,146736.0,582576.0
2,136163.0,136617.0,4858.0,15329.0,697721.0,180844.0,196119.0,576178.0
3,181374.0,186993.0,3908.0,12647.0,700802.0,162744.0,171980.0,587961.0
4,249253.0,250481.0,2966.0,10042.0,699667.0,107409.0,105653.0,402359.0
5,138570.0,125809.0,3956.0,11352.0,718293.0,177198.0,204085.0,663166.0
6,172484.0,187370.0,4200.0,14880.0,699700.0,169829.0,167765.0,579634.0
7,155841.0,152008.0,3973.0,12033.0,716740.0,134789.0,158546.0,546674.0
8,160894.0,138102.0,3916.0,10106.0,708472.0,129238.0,170804.0,617952.0
9,126467.0,109442.0,4345.0,11345.0,707038.0,149083.0,178510.0,573364.0
10,100804.0,84828.0,4686.0,10656.0,693280.0,201168.0,226259.0,661682.0
11,294133.0,303677.0,2905.0,7815.0,712141.0,35782.0,37731.0,251051.0
12,162608.0,177097.0,4280.0,15020.0,713748.0,178366.0,173137.0,600919.0
13,126677.0,127401.0,5630.0,15624.0,696281.0,173340.0,185789.0,575899.0
14,173461.0,168452.0,3914.0,11601.0,708029.0,166380.0,181479.0,593843.0
15,96999.0,80667.0,4679.0,11033.0,699063.0,168016.0,204496.0,657235.0
16,105565.0,98807.0,4957.0,12111.0,704084.0,172911.0,201932.0,647224.0
17,252520.0,250245.0,2407.0,7922.0,694890.0,64352.0,65007.0,319245.0
18,142506.0,114741.0,5044.0,12592.0,703976.0,150763.0,179470.0,641144.0
