,Democratic,Other,Population,Republican,White
1,220959,7345,705136,82968,240213
2,62099,9161,685284,225629,546012
3,110542,7666,691274,152480,417518
4,129451,13028,704023,174844,399448
5,169030,14928,683560,122658,389046
6,220993,9170,680534,80036,226871
7,183112,7136,682890,104563,276125
8,94292,4364,701457,154554,396460
9,147510,8363,693053,151016,347516
10,58400,8080,699747,197660,555516
11,132168,15712,694930,184592,450270
12,111846,6273,686763,149658,383306
13,128209,5881,700669,136779,355848
14,109054,8234,678333,172077,429771
