,Democratic,Other,Population,Republican,White
1,232787,12225,690235,75204,287677
2,144491,14285,697975,174425,442692
3,123885,9071,687133,164430,423241
4,70830,4773,679494,163448,439641
5,104066,4225,704149,142164,366344
6,134724,10327,692362,127305,304985
7,136755,7911,697690,149192,353700
8,241786,9255,696039,59751,203529
9,131940,7467,699953,145412,387546
10,108227,14286,681074,213096,476176
11,70729,10958,697996,231065,550139
12,50645,7028,680672,188756,543868
13,127652,6823,698925,148166,379521
14,199148,6707,683956,107100,254861
