,Democratic,Other,Population,Republican,White
1,244332,8234,703956,39411,164565
2,123455,10598,696989,157923,356665
3,211999,13123,689990,91477,326975
4,141615,7748,690204,129414,355737
5,130472,6664,698930,140722,363701
6,123720,14926,684189,189297,453597
7,133903,12618,690189,165309,411659
8,52820,7177,683946,187662,542143
9,71449,4640,678522,158042,431175
10,75388,10979,700152,233351,544338
11,99472,4199,686917,144573,366976
12,149278,8684,704664,162103,384245
13,112792,9038,687959,183201,458778
14,206970,6713,691046,107029,253366
