,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,176903.0,171211.0,3921.0,12014.0,717412.0,172598.0,186507.0,603247.0
2,178741.0,197272.0,4256.0,15266.0,713782.0,177025.0,171303.0,589445.0
3,222505.0,231743.0,3959.0,13437.0,696856.0,147680.0,146469.0,543601.0
4,103120.0,96613.0,4768.0,11690.0,707081.0,185511.0,211588.0,648269.0
5,135130.0,123157.0,3950.0,11462.0,710204.0,175268.0,201224.0,656959.0
6,149065.0,157684.0,4192.0,14498.0,691423.0,174210.0,172424.0,589859.0
7,320838.0,320030.0,2336.0,7159.0,710946.0,31451.0,32686.0,207521.0
8,157248.0,134858.0,3879.0,9990.0,700603.0,128193.0,168975.0,606775.0
9,130752.0,130877.0,5639.0,15784.0,718157.0,173397.0,187776.0,584228.0
10,130428.0,114674.0,4318.0,11449.0,693980.0,144283.0,174287.0,566949.0
11,246055.0,254293.0,3422.0,10737.0,712272.0,109410.0,106749.0,436833.0
12,193774.0,192446.0,2541.0,7443.0,709847.0,83385.0,95784.0,389536.0
13,136966.0,137948.0,4806.0,15021.0,692648.0,183358.0,198389.0,574343.0
14,93747.0,77447.0,4729.0,10897.0,693867.0,167827.0,203397.0,653745.0
15,208100.0,222378.0,5234.0,15544.0,707021.0,152437.0,143851.0,575990.0
16,144183.0,121146.0,4791.0,13209.0,699863.0,159057.0,185461.0,636728.0
17,155208.0,150700.0,3946.0,11966.0,709606.0,133535.0,156544.0,544283.0
18,101666.0,80021.0,5260.0,10517.0,699361.0,178306.0,212084.0,669795.0
