,Democratic,Other,Population,Republican,White
1,221502,6952,678632,36095,128037
2,180983,16203,704989,152492,445873
3,176078,6956,679216,127391,298899
4,122830,6054,692176,142949,368233
5,82920,13118,681338,220547,526104
6,142009,13363,704304,178285,443115
7,48875,7736,693916,212952,568444
8,129358,8722,695997,155659,419071
9,109155,7165,680378,148014,408267
10,100242,4342,705706,150557,382854
11,218564,9222,697172,54893,191500
12,109278,11129,688727,187385,427361
13,139296,8700,680311,160138,384996
14,96575,5679,704791,162157,421166
