,Democratic,Other,Population,Republican,White
1,124366,8328,705756,172242,427899
2,62699,9285,695235,229276,555828
3,114172,6519,704074,151846,392914
4,123834,11566,687237,150604,344470
5,217650,8564,681882,75587,217471
6,134926,14282,684335,172991,422048
7,55986,8847,702126,203229,562474
8,113364,6026,680777,139650,365245
9,96268,4240,688118,149600,380686
10,159004,8769,704652,133733,360167
11,242218,6479,689096,43465,140047
12,109841,7532,695205,155030,422159
13,177767,16770,685343,148551,445538
14,145570,8134,683817,163710,376974
