,Democratic,Other,Population,Republican,White
1,47806,7818,680740,213329,566350
2,234391,10693,692717,61084,235577
3,191035,7024,685651,114177,271150
4,134389,8715,680539,151184,392529
5,83244,13161,693975,224301,537760
6,142009,13363,704304,178285,443115
7,124128,5989,693545,141103,365950
8,106599,10685,704175,187318,438057
9,98856,4348,702040,151453,385154
10,231251,8110,698921,45557,159748
11,130327,8881,689877,174113,415710
12,148289,13782,681577,139654,379198
13,75078,4783,689082,155640,430124
14,130263,7989,690510,152316,393498
