,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,151994.0,124834.0,4251.0,10810.0,717043.0,139751.0,185835.0,660782.0
2,182431.0,180634.0,4029.0,11918.0,699257.0,160427.0,170620.0,572905.0
3,265409.0,263312.0,2987.0,9744.0,714942.0,96187.0,96436.0,373116.0
4,294040.0,300611.0,2687.0,7500.0,706172.0,34223.0,36696.0,236823.0
5,162686.0,184550.0,3862.0,14205.0,692342.0,170842.0,158583.0,575698.0
6,100070.0,79764.0,5159.0,11171.0,718454.0,176301.0,214159.0,688390.0
7,143846.0,133034.0,4517.0,13611.0,706964.0,161904.0,181160.0,583367.0
8,130004.0,129594.0,5810.0,15822.0,702234.0,174129.0,188495.0,578641.0
9,180887.0,182097.0,3711.0,11524.0,695911.0,143173.0,155469.0,559487.0
10,147074.0,137483.0,3984.0,11940.0,708318.0,173946.0,193565.0,656720.0
11,242687.0,249578.0,2762.0,9051.0,691822.0,82917.0,77787.0,362357.0
12,95044.0,81254.0,4638.0,11162.0,694891.0,198166.0,226570.0,646122.0
13,144641.0,119154.0,4751.0,12755.0,693076.0,152798.0,179029.0,627876.0
14,165793.0,177570.0,4108.0,14459.0,704994.0,167489.0,170584.0,567688.0
15,188059.0,198220.0,5047.0,15121.0,718123.0,166142.0,168024.0,600317.0
16,106061.0,95521.0,5069.0,10880.0,703112.0,162350.0,192029.0,647365.0
17,145405.0,137289.0,3893.0,11294.0,707183.0,134023.0,164317.0,558125.0
18,138298.0,139999.0,4682.0,15116.0,710091.0,182163.0,196140.0,582327.0
