,Democratic,Other,Population,Republican,White
1,96524,4179,680003,144557,368398
2,102034,9814,702742,201721,489672
3,178182,6713,696394,120954,291735
4,214994,13439,703342,81426,324998
5,51415,7213,680234,195977,550138
6,236642,7558,696715,61405,164895
7,76018,4937,700227,161274,442163
8,81474,13633,689676,241951,554713
9,119539,6072,680997,141829,364137
10,134156,7653,687045,145199,379880
11,160235,15372,693959,156667,417685
12,103628,11896,701328,198599,449267
13,196695,8139,684978,78029,195086
14,126129,8723,690013,159926,421153
