,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,169672.0,166699.0,3907.0,12227.0,715752.0,177060.0,190363.0,604470.0
2,99616.0,86277.0,4772.0,11651.0,703952.0,199782.0,227790.0,653309.0
3,183325.0,183634.0,3755.0,11503.0,713073.0,144703.0,157911.0,570975.0
4,259397.0,268769.0,2684.0,7294.0,715392.0,40748.0,45463.0,268016.0
5,105782.0,96072.0,5096.0,11330.0,704284.0,170229.0,199999.0,654567.0
6,292583.0,297109.0,2749.0,9768.0,700243.0,81898.0,71028.0,341813.0
7,168279.0,185387.0,4229.0,14900.0,697436.0,172180.0,171332.0,581745.0
8,149044.0,142790.0,4196.0,13003.0,706485.0,148532.0,163466.0,535460.0
9,161175.0,139552.0,3826.0,9972.0,708378.0,125594.0,166188.0,607265.0
10,146640.0,138863.0,3907.0,11853.0,693403.0,169114.0,186579.0,641645.0
11,161323.0,173348.0,4102.0,14607.0,703564.0,175143.0,170429.0,591595.0
12,200741.0,209831.0,5148.0,14757.0,711012.0,152226.0,152521.0,578177.0
13,126206.0,108319.0,4222.0,10982.0,694898.0,142894.0,182651.0,608970.0
14,146317.0,120400.0,5018.0,13093.0,711010.0,154162.0,181678.0,645740.0
15,128635.0,127996.0,5734.0,15570.0,700945.0,173391.0,187250.0,577075.0
16,97979.0,79010.0,4935.0,10962.0,711039.0,178481.0,215122.0,680003.0
17,252443.0,254281.0,2977.0,9578.0,692733.0,90482.0,90560.0,361302.0
18,135272.0,136161.0,4690.0,15033.0,701330.0,180312.0,195168.0,575979.0
