,Democratic,Other,Population,Republican,White
1,153270,16700,696891,171485,444457
2,169149,6720,687156,126968,302859
3,108209,9472,700194,194926,475736
4,64265,10584,705063,244831,560213
5,123921,7767,688895,156298,418012
6,97051,4162,678337,143717,365949
7,108704,7190,685846,150057,413749
8,106570,5684,705326,149900,396523
9,207475,13126,682450,84806,320955
10,263997,7363,700464,48191,144411
11,115238,6563,685288,151761,380587
12,61968,9874,704686,207309,564293
13,175122,8423,683687,80164,213674
14,122726,11713,683370,179101,412502
