,Democratic,Other,Population,Republican,White
1,135696,8932,702395,172016,415512
2,78310,12148,695798,227064,544483
3,265864,8220,703749,38411,163707
4,123401,8669,686845,169268,428489
5,48342,7916,679690,211527,561318
6,146450,12733,693363,127108,342210
7,74331,4900,692442,158294,437031
8,99212,10037,680284,179443,419167
9,120246,6202,700730,148553,379441
10,143152,8022,691512,135386,361832
11,144629,14042,695998,175815,436322
12,211729,12124,681043,80940,270766
13,97314,4165,682308,145928,370434
14,188989,7231,701496,119761,283208
