,Democratic,Other,Population,Republican,White
1,153270,16700,696891,171485,444457
2,203703,7711,699074,118858,299849
3,108209,9472,700194,194926,475736
4,64265,10584,705063,244831,560213
5,166284,9418,684709,136293,329296
6,114334,6565,681217,152085,379034
7,104909,5566,686953,148064,387879
8,110773,7244,701755,150013,418876
9,224848,5879,681102,51945,130747
10,212682,13628,683723,85829,332025
11,96559,4172,678264,144146,366858
12,61968,9874,704686,207309,564293
13,136121,10654,683285,112516,291876
14,119740,7874,700737,171214,432781
