,Democratic,Other,Population,Republican,White
1,245743,5635,680726,23914,99119
2,56327,7973,680231,202086,552629
3,116897,6003,696021,144841,378576
4,178033,16966,691362,155186,459670
5,133202,9282,699137,160134,415092
6,113466,9302,689109,183612,449790
7,101518,4994,703372,157322,404846
8,147055,15447,695666,163773,422328
9,190379,6893,703341,120005,286486
10,100143,4308,700581,149291,379174
11,204493,9438,678346,92547,251429
12,120983,11701,683985,149146,344156
13,55078,9285,682196,232323,542261
14,114348,8114,703580,155334,428364
