,Democratic,Other,Population,Republican,White
1,189444.0,14567.0,705883.0,181836.0,604406.0
2,314208.0,7158.0,705378.0,26547.0,195524.0
3,232354.0,6817.0,706253.0,70326.0,320495.0
4,220682.0,14043.0,705832.0,146978.0,563033.0
5,227385.0,10862.0,705043.0,124144.0,469133.0
6,185258.0,14426.0,704849.0,152676.0,538135.0
7,99035.0,12648.0,717868.0,208400.0,658839.0
8,117928.0,15841.0,693823.0,191163.0,596255.0
9,144659.0,14851.0,714823.0,189076.0,570764.0
10,90633.0,11811.0,698969.0,200353.0,652795.0
11,87668.0,10908.0,700688.0,213431.0,667423.0
12,223983.0,12733.0,718418.0,130789.0,538242.0
13,117816.0,13006.0,711272.0,184731.0,648601.0
14,78915.0,10985.0,700396.0,226769.0,653830.0
15,178112.0,15483.0,704146.0,187492.0,630693.0
16,112486.0,10399.0,692045.0,203497.0,647438.0
17,135691.0,9410.0,705864.0,165179.0,598795.0
18,158241.0,12135.0,693379.0,152111.0,523705.0
