,Democratic,Other,Population,Republican,White
1,98161,4328,704912,152158,389288
2,163338,13172,687672,102485,317552
3,55246,7599,700024,196978,558256
4,180361,7344,693739,126674,290050
5,56705,8733,678520,224407,537330
6,259525,9741,691024,38525,200884
7,129746,8855,705676,176049,441566
8,141716,8626,689099,144050,372001
9,128170,13766,683873,179297,416160
10,205760,7500,678923,84567,206980
11,77755,5360,697976,162396,443076
12,131237,6159,692356,129050,342376
13,113309,15732,705374,220550,520452
14,136636,8426,678485,152328,377949
