,Democratic,Other,Population,Republican,White
1,220959,7345,705136,82968,240213
2,63183,9365,700234,231337,560114
3,91920,4311,684994,151004,388104
4,129451,13028,704023,174844,399448
5,213754,8521,680971,76273,212311
6,61490,7936,687797,190588,536977
7,129754,15170,696502,184361,444796
8,114919,6460,699295,150658,387021
9,129111,5879,695410,133864,348429
10,155079,8135,680710,129420,345063
11,177157,15702,686319,126737,405765
12,109841,7532,695205,155030,422159
13,171993,7723,692724,130353,293749
14,109054,8234,678333,172077,429771
