,Democratic,Other,Population,Republican,White
1,52253,7886,679133,193135,546013
2,162567,14625,694924,153990,394934
3,100335,4333,704013,149937,381242
4,102138,10129,690000,199442,479196
5,161593,16167,683092,152434,437501
6,112924,6182,686602,146873,379964
7,187234,6833,689954,116484,287125
8,134091,9222,703683,159946,416702
9,59252,10189,696168,244523,559478
10,102779,4619,691401,150754,391802
11,215948,9748,687141,90852,261888
12,251441,6204,688352,31413,110622
13,120762,11090,689610,144397,339089
14,114348,8114,703580,155334,428364
