,Democratic,Other,Population,Republican,White
1,117821,6561,699395,150012,387414
2,148591,15421,685531,159691,425780
3,234248,6960,699984,56478,148617
4,103086,9380,684926,193542,471091
5,54142,7598,704401,204338,569459
6,97670,4202,685228,145613,370678
7,75271,4993,683061,159686,433731
8,104959,12305,691332,206091,459599
9,178205,6750,690360,123033,293712
10,116924,7965,679310,162023,425362
11,225142,13944,703865,79247,326209
12,79719,13287,691385,234481,542749
13,196695,8139,684978,78029,195086
14,145192,7836,703897,137250,364433
