,Democratic,Other,Population,Republican,White
1,76796,5149,681123,156026,428977
2,52799,7306,687157,185218,540571
3,119696,6067,690563,149855,376549
4,133099,9325,696799,165808,414034
5,253762,8970,687756,36462,177099
6,132534,16669,699545,203080,482687
7,170859,13112,680724,100534,327577
8,194482,6833,684064,98169,240246
9,98264,4320,703609,151628,387739
10,61390,9144,700271,230414,554620
11,154199,8166,702384,148027,355015
12,142821,8741,692281,145525,373742
13,123933,13289,678937,176269,405128
14,163031,8250,702440,142499,349936
