,Democratic,Other,Population,Republican,White
1,248166,6060,683482,28250,111179
2,69983,10881,688101,238082,554298
3,120222,6988,704646,160071,396099
4,168160,6982,696261,135399,324773
5,217316,8911,685406,77937,217020
6,179755,16252,697326,141051,435326
7,125255,8338,680967,150814,403650
8,109241,5599,678160,143327,371438
9,128642,9312,703834,169926,415958
10,58542,8051,702316,198261,557331
11,133075,15802,679814,184750,451764
12,111120,10580,682518,156098,364445
13,97375,4339,704198,154362,392583
14,110813,7246,700624,151186,418056
