,Democratic,Other,Population,Republican,White
1,184760,9476,679024,109136,284363
2,148678,15656,687826,164052,417539
3,98762,4326,705477,151337,387513
4,174521,16589,702407,150731,447027
5,54683,9121,686298,239132,556177
6,202859,6369,679534,99904,241106
7,136896,8759,692578,149776,393037
8,55100,8276,702771,203195,563876
9,253151,5857,696150,23807,99592
10,112990,9436,695871,188421,456500
11,122798,6310,678684,143921,372730
12,128221,12316,691266,156701,368541
13,89898,4736,686187,154067,397555
14,114348,8114,703580,155334,428364
