,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,272339.0,266012.0,2255.0,7156.0,715355.0,57761.0,59130.0,292548.0
2,187323.0,192619.0,3923.0,12601.0,696546.0,154553.0,162221.0,578117.0
3,226355.0,234424.0,3298.0,11178.0,696818.0,125626.0,122115.0,456309.0
4,165119.0,182949.0,3786.0,13817.0,691614.0,160161.0,150928.0,554832.0
5,103344.0,85142.0,4926.0,11508.0,716880.0,188058.0,219965.0,685169.0
6,296058.0,304700.0,2845.0,7756.0,717131.0,35456.0,38375.0,246799.0
7,171247.0,180810.0,4550.0,16185.0,718143.0,188356.0,191300.0,625306.0
8,132562.0,126401.0,4698.0,13903.0,712547.0,173359.0,196983.0,599121.0
9,150216.0,145265.0,3821.0,11524.0,691604.0,131025.0,154823.0,530730.0
10,133712.0,124143.0,4800.0,13827.0,715606.0,169336.0,190592.0,585937.0
11,157178.0,136025.0,3786.0,9818.0,692180.0,122937.0,162749.0,595447.0
12,161943.0,154580.0,3857.0,10864.0,713926.0,163868.0,182453.0,611505.0
13,163290.0,157443.0,4199.0,13053.0,703823.0,171135.0,185326.0,633087.0
14,191745.0,203465.0,4956.0,14918.0,705473.0,162026.0,161026.0,582402.0
15,142636.0,115132.0,5002.0,12519.0,691550.0,147811.0,175677.0,630235.0
16,107005.0,99062.0,5053.0,11714.0,718593.0,193723.0,219869.0,658998.0
17,124831.0,124232.0,5625.0,15208.0,693899.0,170568.0,184962.0,572324.0
18,97526.0,82094.0,4567.0,10534.0,693241.0,161172.0,197004.0,639240.0
