,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,197157.0,205535.0,5121.0,14805.0,710547.0,154691.0,155009.0,579562.0
2,98271.0,78194.0,5060.0,10649.0,713989.0,176280.0,214763.0,683604.0
3,178927.0,178805.0,3622.0,11118.0,694204.0,138626.0,152048.0,553420.0
4,282788.0,290708.0,2878.0,10091.0,717748.0,89074.0,77540.0,370019.0
5,128255.0,115607.0,4007.0,10732.0,691639.0,136553.0,167459.0,569043.0
6,274277.0,280856.0,2642.0,7276.0,716268.0,37822.0,42531.0,253628.0
7,130025.0,129921.0,5834.0,15910.0,700375.0,175334.0,189376.0,578061.0
8,162747.0,166401.0,4240.0,13803.0,704575.0,162909.0,177588.0,589350.0
9,104621.0,94831.0,5026.0,11139.0,695960.0,169454.0,197626.0,646536.0
10,97681.0,84650.0,4737.0,11704.0,703074.0,199805.0,227498.0,653274.0
11,152974.0,151253.0,4536.0,14664.0,716988.0,164932.0,177368.0,577539.0
12,173256.0,170995.0,3934.0,12179.0,716217.0,174595.0,187875.0,603085.0
13,161488.0,139802.0,3883.0,10045.0,712143.0,126767.0,169297.0,615463.0
14,148168.0,122708.0,4937.0,13435.0,718261.0,158345.0,185530.0,652449.0
15,159253.0,175179.0,3933.0,14311.0,692335.0,174512.0,164746.0,582802.0
16,146465.0,138744.0,3896.0,11831.0,691049.0,168732.0,186151.0,639326.0
17,253688.0,255477.0,3018.0,9689.0,698050.0,91924.0,92329.0,366657.0
18,134388.0,134832.0,4643.0,14702.0,691507.0,176576.0,190764.0,564288.0
