,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,244045.0,250442.0,2547.0,7128.0,705588.0,49890.0,57251.0,294616.0
2,338028.0,334040.0,2379.0,7374.0,705689.0,33522.0,28059.0,201658.0
3,132940.0,113294.0,4779.0,12658.0,706653.0,171517.0,197080.0,645003.0
4,129381.0,125921.0,5358.0,14864.0,705669.0,177831.0,198713.0,585038.0
5,117954.0,103115.0,5401.0,11458.0,695917.0,161236.0,190283.0,652608.0
6,169890.0,177149.0,4599.0,15550.0,705782.0,179280.0,175254.0,606198.0
7,177971.0,190314.0,4095.0,14258.0,712463.0,184318.0,180262.0,617161.0
8,177943.0,185686.0,4449.0,14733.0,705689.0,178196.0,186607.0,612094.0
9,99170.0,81841.0,4032.0,9185.0,702500.0,175872.0,210412.0,657656.0
10,110474.0,94903.0,4489.0,11603.0,706992.0,169548.0,204186.0,645880.0
11,126280.0,112921.0,4468.0,11913.0,705115.0,155397.0,189471.0,621618.0
12,141828.0,137550.0,4540.0,13169.0,706232.0,200178.0,213104.0,657454.0
13,209940.0,216441.0,2926.0,9785.0,705028.0,104445.0,105237.0,438661.0
14,230734.0,231417.0,5093.0,12908.0,705526.0,103771.0,108915.0,504934.0
15,146544.0,148400.0,4148.0,13218.0,705549.0,155750.0,174400.0,559308.0
16,134314.0,138455.0,4917.0,14899.0,699557.0,152261.0,160334.0,524525.0
17,153256.0,129874.0,3781.0,10127.0,699133.0,120321.0,161013.0,592554.0
18,143737.0,142735.0,3946.0,13253.0,705847.0,203598.0,214917.0,661140.0
