,Democratic,Other,Population,Republican,White
1,124939.0,16154.0,702029.0,197054.0,599203.0
2,98081.0,11500.0,690906.0,207590.0,634659.0
3,80003.0,11011.0,710316.0,205303.0,668194.0
4,188812.0,14488.0,702202.0,180932.0,605348.0
5,328567.0,7958.0,712465.0,28633.0,216864.0
6,112381.0,11446.0,702469.0,180693.0,569014.0
7,108785.0,10435.0,709007.0,211042.0,665695.0
8,136236.0,14260.0,693056.0,181867.0,551862.0
9,226968.0,14762.0,717760.0,151878.0,578707.0
10,240119.0,10361.0,713592.0,114679.0,437835.0
11,226675.0,13064.0,716298.0,136918.0,542293.0
12,157697.0,14559.0,696592.0,173658.0,587896.0
13,137707.0,9979.0,706551.0,168754.0,613864.0
14,120958.0,13140.0,717572.0,183593.0,652126.0
15,176370.0,15824.0,715080.0,195379.0,638404.0
16,83537.0,10442.0,690930.0,206102.0,657520.0
17,153633.0,12301.0,696151.0,157732.0,537296.0
18,213030.0,6399.0,691953.0,73691.0,321326.0
