,Democratic,Other,Population,Republican,White
1,133799,6130,701547,130441,344014
2,113856,15693,698130,219064,512704
3,138391,8149,697407,170045,392236
4,256027,9019,693363,36551,177365
5,180631,8552,681061,108689,261117
6,178183,13658,703095,104040,337991
7,170930,8370,678761,119043,302716
8,143901,7545,680301,153686,387527
9,98264,4320,703609,151628,387739
10,62249,8883,687162,221978,538963
11,78426,5376,702119,163371,445318
12,142821,8741,692281,145525,373742
13,126192,13443,683512,176080,408007
14,53995,7462,685305,189373,544481
