,Democratic,Other,Population,Republican,White
1,198184.0,15165.0,716255.0,168697.0,593783.0
2,206900.0,6244.0,705876.0,70700.0,311949.0
3,339662.0,7731.0,705755.0,26173.0,204070.0
4,211942.0,13445.0,695460.0,160117.0,573656.0
5,181278.0,14046.0,693113.0,148928.0,527195.0
6,99885.0,11641.0,707310.0,199511.0,626071.0
7,160248.0,12424.0,699042.0,152895.0,528181.0
8,110849.0,10622.0,703927.0,209832.0,662907.0
9,139589.0,15480.0,710449.0,198442.0,587520.0
10,80769.0,10425.0,713538.0,217018.0,683731.0
11,123360.0,15313.0,701610.0,182924.0,582398.0
12,80184.0,10893.0,695280.0,221723.0,645822.0
13,97030.0,12132.0,710785.0,201038.0,661952.0
14,121764.0,13132.0,706534.0,180407.0,640429.0
15,195758.0,15002.0,709563.0,178290.0,599446.0
16,207314.0,13228.0,695519.0,141152.0,553799.0
17,130056.0,10117.0,702588.0,171687.0,620104.0
18,229726.0,11043.0,712325.0,125964.0,475093.0
